Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
0,0.00,-998.40,-124.80
26,39.00,-990.60,-117.00
44,0.00,-951.60,-124.80
61,0.00,-967.20,-78.00
79,0.00,-990.60,-101.40
96,0.00,-951.60,-171.60
113,0.00,-982.80,-171.60
131,0.00,-967.20,-78.00
148,7.80,-990.60,-140.40
166,0.00,-975.00,-163.80
183,0.00,-982.80,-140.40
200,0.00,-967.20,-140.40
218,0.00,-967.20,-109.20
235,0.00,-967.20,-117.00
252,0.00,-975.00,-140.40
270,15.60,-951.60,-132.60
287,0.00,-959.40,-124.80
305,15.60,-967.20,-124.80
322,0.00,-990.60,-148.20
345,0.00,-990.60,-124.80
363,0.00,-990.60,-163.80
380,0.00,-959.40,-156.00
398,0.00,-959.40,-117.00
415,0.00,-959.40,-124.80
432,0.00,-936.00,-117.00
450,0.00,-975.00,-117.00
467,-39.00,-951.60,-124.80
484,0.00,-990.60,-163.80
502,0.00,-943.80,-132.60
519,0.00,-959.40,-124.80
537,0.00,-982.80,-124.80
554,0.00,-982.80,-124.80
571,7.80,-990.60,-140.40
589,0.00,-998.40,-124.80
606,0.00,-936.00,-109.20
624,0.00,-943.80,-132.60
641,7.80,-975.00,-132.60
658,0.00,-990.60,-109.20
682,0.00,-967.20,-124.80
699,0.00,-967.20,-93.60
716,0.00,-990.60,-109.20
745,0.00,-959.40,-109.20
762,15.60,-998.40,-78.00
779,0.00,-967.20,-132.60
797,0.00,-982.80,-132.60
814,0.00,-959.40,-124.80
832,0.00,-951.60,-117.00
866,0.00,-982.80,-124.80
883,0.00,-936.00,-109.20
901,0.00,-959.40,-117.00
926,0.00,-943.80,-163.80
944,0.00,-951.60,-163.80
961,0.00,-967.20,-171.60
979,0.00,-936.00,-101.40
996,0.00,-967.20,-101.40
1014,0.00,-951.60,-163.80
1040,0.00,-967.20,-156.00
1058,7.80,-951.60,-156.00
1081,23.40,-998.40,-101.40
1099,0.00,-951.60,-132.60
1116,0.00,-998.40,-117.00
1133,46.80,-998.40,-124.80
1151,0.00,-982.80,-124.80
1168,0.00,-959.40,-163.80
1186,0.00,-943.80,-132.60
1203,7.80,-959.40,-109.20
1221,0.00,-975.00,-156.00
1238,0.00,-943.80,-148.20
1256,15.60,-990.60,-156.00
1273,0.00,-975.00,-124.80
1291,0.00,-967.20,-124.80
1308,7.80,-959.40,-101.40
1326,0.00,-959.40,-117.00
1343,0.00,-975.00,-117.00
1360,15.60,-982.80,-78.00
1378,15.60,-990.60,-117.00
1396,0.00,-936.00,-109.20
1419,0.00,-975.00,-163.80
1436,0.00,-967.20,-101.40
1454,7.80,-998.40,-156.00
1471,7.80,-998.40,-124.80
1489,0.00,-998.40,-132.60
1506,31.20,-982.80,-124.80
1524,0.00,-998.40,-148.20
1541,7.80,-959.40,-78.00
1559,15.60,-959.40,-109.20
1576,0.00,-975.00,-117.00
1594,7.80,-990.60,-93.60
1611,0.00,-951.60,-132.60
1629,0.00,-975.00,-101.40
1646,0.00,-982.80,-124.80
1663,0.00,-975.00,-171.60
1692,0.00,-943.80,-124.80
1710,0.00,-998.40,-124.80
1727,0.00,-990.60,-156.00
1761,0.00,-990.60,-124.80
1784,0.00,-951.60,-117.00
