Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
4425,23.40,1053.00,7.80
4453,0.00,1037.40,15.60
4474,0.00,1037.40,46.80
4494,0.00,1006.20,31.20
4515,15.60,1014.00,54.60
4536,0.00,1045.20,23.40
4556,15.60,998.40,46.80
4577,23.40,998.40,62.40
4598,0.00,1006.20,7.80
4618,0.00,1045.20,23.40
4639,0.00,998.40,62.40
4659,0.00,1021.80,23.40
4680,7.80,1021.80,23.40
4701,0.00,1021.80,15.60
4721,0.00,1021.80,7.80
4742,0.00,1037.40,15.60
4762,0.00,1021.80,62.40
4783,0.00,1014.00,54.60
4803,0.00,1006.20,39.00
4824,0.00,1045.20,39.00
4844,0.00,998.40,31.20
4865,0.00,1037.40,23.40
4892,7.80,1029.60,54.60
4912,0.00,1021.80,0.00
4969,7.80,1021.80,7.80
4988,0.00,998.40,31.20
5010,0.00,1037.40,39.00
5029,23.40,1029.60,46.80
5051,0.00,1045.20,23.40
5070,31.20,998.40,62.40
5092,0.00,1029.60,46.80
5111,15.60,1021.80,15.60
5133,0.00,1045.20,39.00
5152,23.40,998.40,39.00
5174,0.00,1021.80,23.40
5193,15.60,1014.00,39.00
5215,15.60,1021.80,31.20
5234,15.60,998.40,62.40
5256,7.80,1021.80,54.60
5276,0.00,1021.80,7.80
5306,0.00,998.40,46.80
5328,0.00,1014.00,31.20
5356,7.80,998.40,39.00
5376,0.00,1029.60,31.20
5397,0.00,1021.80,54.60
5417,0.00,1029.60,15.60
5437,0.00,1006.20,31.20
5457,0.00,1037.40,23.40
5481,0.00,1021.80,0.00
5535,31.20,998.40,31.20
5554,0.00,998.40,31.20
5575,15.60,998.40,54.60
5596,0.00,998.40,31.20
5616,0.00,1053.00,62.40
5637,0.00,1021.80,0.00
5657,0.00,1021.80,62.40
5678,7.80,1006.20,39.00
5699,7.80,1029.60,23.40
5719,7.80,998.40,46.80
5740,0.00,1021.80,39.00
5761,23.40,998.40,54.60
5782,15.60,1014.00,54.60
5802,23.40,998.40,54.60
5830,7.80,1045.20,46.80
5850,0.00,1014.00,85.80
5871,15.60,998.40,46.80
5891,0.00,998.40,31.20
5913,0.00,1021.80,7.80
5932,23.40,1045.20,54.60
5954,0.00,1021.80,23.40
5974,0.00,1045.20,23.40
5995,7.80,1006.20,62.40
6015,23.40,1037.40,85.80
6071,15.60,1053.00,0.00
6090,23.40,1029.60,23.40
6112,15.60,1029.60,31.20
6132,7.80,1021.80,23.40
6154,0.00,1037.40,15.60
6174,15.60,1029.60,93.60
6195,0.00,1045.20,54.60
6215,0.00,1045.20,54.60
6236,15.60,998.40,54.60
6256,15.60,998.40,54.60
6284,0.00,1037.40,0.00
6305,0.00,1029.60,46.80
6325,0.00,1021.80,54.60
6346,0.00,1045.20,23.40
6366,7.80,1014.00,85.80
6387,15.60,998.40,39.00
6408,0.00,998.40,39.00
6429,7.80,1045.20,54.60
6449,23.40,998.40,15.60
6470,0.00,1029.60,23.40
6491,23.40,1014.00,62.40
6512,0.00,1029.60,39.00
6532,0.00,1021.80,23.40
6553,31.20,1014.00,46.80
6573,15.60,1006.20,31.20
6628,0.00,1021.80,46.80
6649,15.60,1045.20,54.60
6670,0.00,1029.60,62.40
6690,15.60,998.40,31.20
6711,31.20,998.40,0.00
6732,0.00,1045.20,54.60
6759,23.40,998.40,0.00
6779,15.60,998.40,54.60
6801,0.00,1021.80,23.40
6820,0.00,1021.80,39.00
6842,15.60,998.40,31.20
6862,0.00,1021.80,39.00
6883,0.00,1014.00,70.20
6903,0.00,998.40,0.00
6924,0.00,1021.80,23.40
6944,0.00,1021.80,39.00
6966,0.00,998.40,62.40
6985,31.20,1006.20,46.80
7007,0.00,998.40,31.20
7027,15.60,998.40,62.40
7048,15.60,998.40,62.40
7068,0.00,998.40,39.00
7090,0.00,1029.60,46.80
7109,7.80,1014.00,54.60
7168,7.80,1014.00,85.80
7187,7.80,1014.00,46.80
7215,7.80,998.40,31.20
7236,0.00,1014.00,46.80
7257,23.40,1014.00,31.20
7277,15.60,1006.20,46.80
7298,0.00,998.40,31.20
7319,31.20,1006.20,54.60
7339,0.00,1021.80,39.00
7360,0.00,1006.20,23.40
7381,23.40,1045.20,23.40
7401,0.00,1021.80,39.00
7422,15.60,1006.20,46.80
7443,23.40,1014.00,7.80
7463,15.60,998.40,39.00
7484,0.00,1029.60,54.60
7505,0.00,1037.40,46.80
7525,15.60,1021.80,54.60
7546,15.60,998.40,62.40
7567,0.00,1021.80,23.40
7587,23.40,1014.00,15.60
7608,23.40,1014.00,70.20
7629,46.80,998.40,46.80
7657,0.00,1006.20,62.40
7712,15.60,1014.00,85.80
7734,7.80,998.40,39.00
7753,0.00,998.40,46.80
7775,0.00,1037.40,54.60
7794,15.60,998.40,46.80
7816,15.60,1045.20,54.60
7836,0.00,998.40,15.60
7857,7.80,1021.80,15.60
7877,0.00,1068.60,15.60
7898,15.60,1021.80,39.00
7918,15.60,1014.00,46.80
7939,15.60,1014.00,15.60
7959,0.00,1014.00,46.80
7980,54.60,998.40,7.80
8000,62.40,1053.00,0.00
8021,0.00,1037.40,54.60
8041,0.00,1014.00,62.40
8069,0.00,1006.20,54.60
8090,-93.60,1053.00,124.80
8118,241.80,795.60,-70.20
8139,23.40,1014.00,62.40
8160,249.60,748.80,-85.80
8180,7.80,975.00,117.00
8201,0.00,1021.80,62.40
8221,0.00,967.20,46.80
8275,0.00,998.40,46.80
8294,15.60,826.80,0.00
8319,23.40,990.60,70.20
8339,54.60,998.40,0.00
8358,46.80,982.80,23.40
8379,62.40,936.00,62.40
8400,0.00,1021.80,31.20
8421,7.80,1060.80,46.80
8441,78.00,1037.40,39.00
8462,0.00,998.40,46.80
8483,0.00,1014.00,78.00
8504,23.40,998.40,31.20
8524,15.60,1037.40,46.80
8545,15.60,1029.60,78.00
8572,0.00,1045.20,46.80
8594,7.80,1006.20,31.20
8613,23.40,998.40,46.80
8635,15.60,1021.80,124.80
8655,0.00,1060.80,31.20
8676,23.40,1014.00,54.60
8696,15.60,998.40,31.20
8718,62.40,1123.20,0.00
8738,54.60,1021.80,23.40
8759,0.00,1123.20,31.20
8815,70.20,998.40,31.20
8837,54.60,1029.60,23.40
8857,179.40,982.80,70.20
8879,616.20,374.40,202.80
8898,0.00,1006.20,15.60
8920,-39.00,1014.00,78.00
8940,23.40,1053.00,7.80
8961,46.80,1053.00,54.60
8981,0.00,998.40,15.60
9003,15.60,998.40,31.20
9030,0.00,1021.80,39.00
9050,15.60,1014.00,62.40
9071,7.80,998.40,85.80
9092,15.60,1053.00,23.40
9113,0.00,1021.80,39.00
9133,7.80,1021.80,39.00
9154,0.00,1006.20,15.60
9175,7.80,1006.20,46.80
9195,0.00,1045.20,46.80
9216,0.00,1021.80,0.00
9236,0.00,998.40,31.20
9257,7.80,1021.80,39.00
9278,23.40,1029.60,46.80
9298,31.20,998.40,31.20
9319,23.40,1014.00,54.60
9375,0.00,1021.80,7.80
9396,85.80,998.40,70.20
9416,0.00,1076.40,0.00
9437,93.60,1263.60,-70.20
9458,46.80,1006.20,62.40
9479,46.80,1006.20,46.80
9505,54.60,1060.80,0.00
9527,-288.60,1248.00,-195.00
9547,109.20,967.20,78.00
9569,0.00,1084.20,62.40
9588,257.40,873.60,46.80
9610,54.60,1029.60,46.80
9630,0.00,998.40,39.00
9651,-101.40,998.40,54.60
9671,0.00,1060.80,46.80
9693,15.60,1029.60,15.60
9713,0.00,1014.00,54.60
9734,0.00,1006.20,0.00
9753,0.00,1014.00,23.40
9775,0.00,998.40,31.20
9795,15.60,1014.00,46.80
9816,7.80,998.40,70.20
9836,7.80,998.40,39.00
9858,0.00,1053.00,39.00
9913,23.40,998.40,31.20
9934,0.00,1006.20,31.20
9961,23.40,998.40,78.00
9982,0.00,1029.60,46.80
10002,15.60,1068.60,46.80
10023,0.00,998.40,23.40
10044,-195.00,1177.80,0.00
10064,0.00,1045.20,39.00
10085,39.00,1014.00,109.20
10106,-62.40,1037.40,39.00
10127,54.60,1092.00,39.00
10147,0.00,1084.20,7.80
10168,7.80,998.40,31.20
10188,54.60,998.40,23.40
10209,15.60,1014.00,31.20
10230,15.60,1014.00,31.20
10251,0.00,1021.80,7.80
10271,23.40,998.40,46.80
10292,0.00,1021.80,31.20
10313,0.00,1053.00,31.20
10333,0.00,1021.80,39.00
10360,7.80,998.40,15.60
10381,7.80,1029.60,39.00
10401,15.60,1006.20,39.00
10459,0.00,1021.80,7.80
10478,15.60,1029.60,0.00
10500,7.80,998.40,46.80
10520,0.00,1021.80,7.80
10541,23.40,1029.60,54.60
10561,23.40,1029.60,62.40
10582,0.00,1029.60,54.60
10602,0.00,1021.80,7.80
10623,0.00,1060.80,46.80
10643,23.40,1021.80,62.40
10665,23.40,975.00,0.00
10684,7.80,1053.00,31.20
10706,0.00,1014.00,0.00
10725,46.80,1045.20,39.00
10746,31.20,1006.20,39.00
10766,0.00,998.40,54.60
10787,7.80,920.40,23.40
10814,0.00,951.60,109.20
10841,0.00,998.40,54.60
10864,23.40,998.40,39.00
10885,0.00,998.40,62.40
10905,0.00,1006.20,62.40
10925,7.80,1053.00,54.60
10945,23.40,1006.20,31.20
10966,23.40,1014.00,39.00
10995,0.00,1029.60,46.80
11015,31.20,998.40,62.40
11036,0.00,1014.00,54.60
11056,0.00,1021.80,23.40
11075,7.80,1045.20,54.60
11098,0.00,998.40,7.80
11117,0.00,998.40,31.20
11136,0.00,1014.00,15.60
11157,0.00,998.40,31.20
11177,0.00,1021.80,39.00
11198,15.60,998.40,31.20
11218,0.00,998.40,31.20
11246,31.20,998.40,62.40
11265,7.80,1014.00,15.60
11287,0.00,1021.80,15.60
11307,15.60,1060.80,78.00
11328,23.40,881.40,0.00
11348,23.40,1053.00,109.20
11369,195.00,920.40,117.00
11389,319.80,733.20,218.40
11411,-163.80,1497.60,-319.80
11431,132.60,904.80,85.80
11452,14820.00,1778.40,-1201.20
11472,8439.60,1755.00,-3798.60
11534,4875.00,-889.20,-1575.60
11559,0.00,-3634.80,-748.80
11581,2379.00,-936.00,1271.40
11600,1014.00,3174.60,5304.00
11622,1965.60,1872.00,1248.00
11642,1895.40,3104.40,-2480.40
