Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
1,0.00,-912.60,39.00
24,39.00,-990.60,62.40
47,0.00,-1014.00,85.80
71,-54.60,-936.00,85.80
94,-109.20,-990.60,46.80
118,-101.40,-951.60,62.40
141,23.40,-990.60,15.60
162,23.40,-943.80,93.60
183,46.80,-975.00,78.00
204,54.60,-982.80,15.60
224,7.80,-936.00,85.80
245,31.20,-943.80,23.40
266,0.00,-943.80,54.60
286,0.00,-998.40,62.40
306,0.00,-975.00,39.00
327,23.40,-959.40,85.80
347,0.00,-967.20,46.80
368,0.00,-943.80,54.60
389,0.00,-975.00,23.40
421,0.00,-951.60,54.60
452,15.60,-990.60,31.20
474,15.60,-975.00,15.60
493,0.00,-982.80,31.20
515,0.00,-928.20,78.00
534,0.00,-943.80,39.00
556,0.00,-959.40,85.80
575,23.40,-967.20,101.40
597,0.00,-975.00,62.40
617,0.00,-975.00,54.60
638,15.60,-975.00,31.20
658,0.00,-943.80,70.20
679,15.60,-982.80,85.80
699,15.60,-967.20,85.80
721,15.60,-967.20,78.00
741,0.00,-951.60,85.80
762,0.00,-975.00,46.80
782,15.60,-967.20,78.00
803,0.00,-990.60,46.80
823,23.40,-975.00,85.80
845,7.80,-943.80,23.40
864,0.00,-928.20,62.40
883,23.40,-982.80,78.00
903,0.00,-982.80,62.40
924,0.00,-982.80,62.40
944,0.00,-975.00,39.00
965,0.00,-951.60,23.40
985,0.00,-975.00,39.00
1006,0.00,-951.60,62.40
1026,7.80,-975.00,46.80
1048,23.40,-936.00,39.00
1067,0.00,-975.00,15.60
1089,0.00,-943.80,23.40
1108,0.00,-959.40,101.40
1130,7.80,-967.20,54.60
1150,7.80,-990.60,62.40
1207,15.60,-975.00,62.40
1227,0.00,-943.80,78.00
1248,15.60,-998.40,62.40
1268,0.00,-998.40,70.20
1290,31.20,-982.80,93.60
1309,0.00,-951.60,39.00
1337,0.00,-951.60,85.80
1358,7.80,-943.80,54.60
1379,0.00,-951.60,70.20
1399,23.40,-967.20,54.60
1420,46.80,-943.80,54.60
1441,15.60,-951.60,85.80
1462,15.60,-998.40,78.00
1483,7.80,-951.60,78.00
1503,0.00,-951.60,70.20
1524,0.00,-975.00,54.60
1544,0.00,-975.00,39.00
1565,0.00,-928.20,54.60
