Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
0,31.20,998.40,62.40
17,31.20,1021.80,23.40
35,23.40,998.40,46.80
53,15.60,1006.20,31.20
71,31.20,1014.00,78.00
88,0.00,1021.80,23.40
106,15.60,1021.80,31.20
123,7.80,1037.40,23.40
141,0.00,998.40,78.00
158,0.00,1014.00,46.80
176,0.00,1021.80,31.20
193,0.00,1053.00,7.80
210,23.40,1021.80,46.80
228,117.00,1006.20,54.60
246,46.80,1037.40,23.40
263,0.00,1014.00,46.80
281,7.80,1029.60,62.40
298,23.40,1021.80,31.20
316,39.00,1045.20,7.80
333,148.20,1045.20,7.80
357,46.80,1021.80,46.80
374,-78.00,998.40,31.20
392,-46.80,1076.40,39.00
409,-93.60,998.40,0.00
427,78.00,1014.00,101.40
444,31.20,998.40,15.60
462,0.00,998.40,109.20
479,0.00,1021.80,23.40
497,0.00,1006.20,23.40
514,23.40,1014.00,54.60
532,15.60,998.40,31.20
549,0.00,1045.20,54.60
567,39.00,1045.20,46.80
584,23.40,998.40,70.20
602,0.00,1014.00,23.40
619,0.00,1021.80,23.40
637,23.40,998.40,70.20
654,0.00,998.40,31.20
672,23.40,1029.60,93.60
689,0.00,1021.80,23.40
707,0.00,1045.20,23.40
742,15.60,998.40,39.00
759,23.40,1029.60,54.60
777,23.40,998.40,31.20
795,15.60,998.40,62.40
812,15.60,1006.20,23.40
830,23.40,998.40,46.80
848,15.60,1045.20,70.20
865,15.60,1021.80,23.40
898,0.00,1045.20,39.00
915,0.00,1021.80,23.40
933,31.20,998.40,78.00
959,0.00,1029.60,54.60
976,23.40,1014.00,54.60
994,31.20,998.40,46.80
1011,46.80,1037.40,39.00
1039,15.60,1053.00,23.40
1056,0.00,1021.80,54.60
1074,15.60,1014.00,78.00
1091,15.60,1014.00,46.80
1109,7.80,1021.80,54.60
1127,31.20,1006.20,62.40
1150,0.00,998.40,15.60
1168,15.60,1014.00,46.80
1185,39.00,998.40,31.20
1203,54.60,998.40,46.80
1221,15.60,998.40,62.40
1238,23.40,1045.20,23.40
1256,23.40,1006.20,31.20
1273,31.20,998.40,15.60
1291,31.20,998.40,39.00
1309,15.60,1021.80,62.40
1326,7.80,1014.00,54.60
1344,15.60,998.40,39.00
1362,39.00,998.40,62.40
1379,31.20,1014.00,62.40
1397,23.40,1029.60,78.00
1415,15.60,1029.60,23.40
1432,7.80,998.40,46.80
1450,15.60,1021.80,31.20
1468,0.00,1021.80,93.60
1485,15.60,1006.20,23.40
1509,31.20,1029.60,54.60
1526,7.80,1045.20,70.20
1544,39.00,1029.60,62.40
1562,31.20,1014.00,54.60
1579,0.00,1006.20,7.80
1597,54.60,998.40,62.40
1614,39.00,998.40,31.20
1632,7.80,1029.60,23.40
1661,23.40,998.40,46.80
1679,0.00,1006.20,31.20
1697,0.00,1021.80,62.40
1714,23.40,1006.20,70.20
1732,46.80,998.40,46.80
1749,23.40,1014.00,62.40
1767,31.20,967.20,54.60
1785,46.80,1006.20,62.40
1802,31.20,1006.20,78.00
1835,0.00,1021.80,23.40
1853,23.40,998.40,78.00
1870,0.00,1014.00,54.60
1894,15.60,1006.20,15.60
1911,0.00,1029.60,54.60
1929,46.80,998.40,62.40
1946,23.40,1006.20,46.80
1964,15.60,1006.20,62.40
1982,0.00,1045.20,46.80
1999,0.00,1021.80,39.00
2016,7.80,1021.80,54.60
