Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
0,-46.80,483.60,62.40
24,-163.80,1138.80,-54.60
49,257.40,998.40,-109.20
73,156.00,920.40,-62.40
97,39.00,998.40,-163.80
121,171.60,951.60,-109.20
145,312.00,873.60,124.80
167,234.00,1310.40,-530.40
188,39.00,858.00,124.80
210,0.00,967.20,0.00
231,15.60,998.40,-101.40
252,-39.00,904.80,452.40
273,156.00,1045.20,0.00
295,171.60,936.00,93.60
316,62.40,998.40,0.00
337,0.00,1076.40,54.60
358,23.40,998.40,39.00
380,0.00,1107.60,0.00
400,0.00,1068.60,0.00
428,0.00,1045.20,93.60
448,0.00,1099.80,-156.00
470,-132.60,1123.20,31.20
491,15.60,1154.40,0.00
513,0.00,928.20,179.40
533,0.00,1037.40,0.00
555,-39.00,764.40,234.00
575,7.80,1224.60,-62.40
598,54.60,1138.80,0.00
618,-39.00,1021.80,7.80
640,0.00,928.20,0.00
660,39.00,998.40,23.40
682,-85.80,1029.60,70.20
702,-78.00,1029.60,62.40
725,-39.00,998.40,78.00
745,-70.20,1021.80,0.00
767,-62.40,1076.40,15.60
788,0.00,1045.20,31.20
810,0.00,1029.60,15.60
830,54.60,1014.00,39.00
852,46.80,998.40,0.00
879,0.00,1045.20,0.00
900,0.00,998.40,0.00
921,0.00,1021.80,39.00
942,0.00,1053.00,0.00
963,0.00,1092.00,-109.20
984,23.40,1021.80,78.00
1005,7.80,1014.00,0.00
1026,15.60,1006.20,15.60
1060,46.80,998.40,0.00
1081,31.20,998.40,0.00
1102,0.00,1021.80,0.00
1123,0.00,1014.00,15.60
1144,31.20,1014.00,15.60
1165,15.60,998.40,7.80
1187,7.80,1021.80,15.60
1208,0.00,1021.80,0.00
1229,15.60,998.40,23.40
1250,15.60,1029.60,23.40
1272,0.00,1029.60,0.00
1293,-46.80,998.40,7.80
1314,23.40,1029.60,23.40
1341,39.00,1045.20,0.00
1364,23.40,1014.00,15.60
1384,7.80,1014.00,0.00
1406,0.00,1021.80,0.00
1426,0.00,998.40,0.00
1448,23.40,1014.00,0.00
1468,23.40,1014.00,7.80
1490,0.00,1021.80,7.80
1510,0.00,1045.20,7.80
1533,0.00,1029.60,0.00
1552,23.40,1014.00,23.40
1575,0.00,1021.80,7.80
1595,15.60,1014.00,23.40
1617,0.00,1045.20,0.00
1637,0.00,1014.00,7.80
1659,0.00,998.40,0.00
1679,0.00,1045.20,7.80
1701,0.00,1006.20,0.00
1721,23.40,1029.60,54.60
1743,7.80,1014.00,15.60
1764,7.80,1029.60,23.40
1792,15.60,1006.20,0.00
1813,23.40,1021.80,0.00
1835,15.60,1045.20,0.00
1856,7.80,1029.60,0.00
1877,7.80,1029.60,0.00
1898,46.80,998.40,0.00
1919,15.60,998.40,15.60
1941,0.00,1029.60,0.00
1961,15.60,1029.60,0.00
1983,54.60,1014.00,23.40
2004,31.20,1014.00,0.00
2025,15.60,1021.80,7.80
2046,23.40,1006.20,46.80
2068,0.00,1021.80,0.00
2089,0.00,1045.20,15.60
2110,15.60,1014.00,15.60
2131,23.40,1014.00,15.60
2153,15.60,1014.00,7.80
2174,0.00,998.40,0.00
2195,7.80,1045.20,15.60
2222,15.60,998.40,0.00
2244,0.00,1014.00,0.00
2264,7.80,1045.20,31.20
2287,0.00,1006.20,15.60
2307,0.00,1029.60,15.60
2329,7.80,1014.00,7.80
2349,0.00,1006.20,23.40
2371,7.80,1029.60,23.40
2391,0.00,1014.00,0.00
2413,0.00,998.40,54.60
2433,0.00,1006.20,7.80
2455,23.40,998.40,7.80
2475,7.80,1006.20,0.00
2497,0.00,1053.00,0.00
2517,0.00,1006.20,7.80
2539,0.00,998.40,15.60
2559,0.00,1037.40,0.00
2581,7.80,1037.40,31.20
2601,31.20,998.40,15.60
2623,0.00,1037.40,0.00
2643,23.40,998.40,0.00
2673,0.00,1021.80,7.80
2693,15.60,1060.80,7.80
2713,15.60,1045.20,31.20
2734,7.80,1045.20,7.80
2755,15.60,998.40,23.40
2777,0.00,1045.20,15.60
2798,31.20,1029.60,23.40
2820,0.00,998.40,0.00
2841,0.00,998.40,0.00
2862,0.00,1021.80,39.00
2883,0.00,998.40,0.00
2904,0.00,1014.00,0.00
2925,23.40,998.40,54.60
2946,7.80,998.40,46.80
2967,0.00,1021.80,0.00
2988,39.00,998.40,15.60
3009,0.00,1053.00,7.80
3031,0.00,1021.80,0.00
3051,7.80,1037.40,31.20
3073,0.00,1045.20,7.80
3094,23.40,1014.00,7.80
3122,0.00,1021.80,7.80
3142,0.00,1037.40,7.80
3164,31.20,998.40,15.60
3185,15.60,1029.60,0.00
3207,23.40,1037.40,0.00
3227,23.40,1014.00,15.60
3249,23.40,1014.00,0.00
3270,23.40,1014.00,15.60
3292,7.80,1029.60,0.00
3312,0.00,1006.20,31.20
3334,7.80,1014.00,23.40
3354,0.00,1045.20,7.80
3377,0.00,1006.20,0.00
3396,7.80,1021.80,0.00
3418,15.60,1006.20,0.00
3439,15.60,998.40,0.00
3461,0.00,1037.40,0.00
3481,31.20,1014.00,0.00
3503,7.80,1053.00,0.00
3523,0.00,1006.20,0.00
3545,0.00,1045.20,15.60
3572,23.40,1053.00,7.80
3593,0.00,998.40,0.00
3614,31.20,1014.00,23.40
3635,0.00,1014.00,7.80
3656,23.40,1014.00,0.00
3677,7.80,998.40,7.80
3715,7.80,1029.60,0.00
3736,0.00,1068.60,31.20
3757,23.40,998.40,23.40
3778,15.60,1006.20,0.00
3800,0.00,1021.80,0.00
3820,0.00,1006.20,15.60
3841,0.00,998.40,46.80
3862,23.40,1014.00,23.40
3884,0.00,1029.60,0.00
3904,23.40,1045.20,15.60
3926,15.60,1021.80,0.00
3947,15.60,998.40,31.20
3968,31.20,998.40,23.40
3989,0.00,1021.80,0.00
4010,0.00,1037.40,0.00
4037,0.00,1053.00,0.00
4059,7.80,1006.20,0.00
4079,7.80,1021.80,7.80
4101,23.40,998.40,0.00
4121,0.00,1006.20,0.00
4143,0.00,1060.80,0.00
4163,31.20,1029.60,39.00
4186,23.40,998.40,7.80
4206,0.00,998.40,0.00
4228,0.00,998.40,15.60
4248,7.80,1053.00,7.80
4270,23.40,1006.20,7.80
4290,7.80,1014.00,0.00
4313,23.40,998.40,0.00
4333,0.00,1045.20,0.00
4355,31.20,1029.60,15.60
4375,0.00,1021.80,0.00
4397,0.00,998.40,0.00
4417,0.00,1037.40,0.00
4439,15.60,998.40,0.00
4459,46.80,998.40,15.60
4487,23.40,1029.60,15.60
4509,7.80,1045.20,15.60
4530,0.00,1045.20,23.40
4552,39.00,1014.00,7.80
4573,15.60,998.40,15.60
4594,0.00,1045.20,0.00
4615,0.00,1053.00,0.00
4636,0.00,1037.40,0.00
4657,15.60,1037.40,15.60
4678,23.40,1021.80,54.60
4699,0.00,998.40,15.60
4721,0.00,1021.80,0.00
4742,-39.00,1037.40,23.40
4763,0.00,1021.80,0.00
4784,15.60,1029.60,15.60
4805,0.00,1021.80,0.00
4826,15.60,998.40,0.00
4847,7.80,998.40,0.00
4868,23.40,1029.60,7.80
4890,0.00,998.40,23.40
4911,0.00,1045.20,7.80
4939,23.40,998.40,15.60
4959,0.00,1037.40,7.80
4981,15.60,1006.20,0.00
5001,23.40,1029.60,7.80
5023,23.40,1014.00,0.00
5043,7.80,1045.20,15.60
5066,7.80,1029.60,23.40
5086,15.60,1029.60,15.60
5108,0.00,1021.80,0.00
5128,31.20,1029.60,7.80
5150,46.80,1014.00,31.20
5171,7.80,1021.80,0.00
5193,0.00,1053.00,0.00
5212,0.00,1045.20,0.00
