Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
1,0.00,-936.00,-109.20
24,0.00,-959.40,-124.80
48,0.00,-943.80,-109.20
72,-46.80,-928.20,-93.60
96,0.00,-975.00,-148.20
120,0.00,-936.00,-132.60
144,0.00,-990.60,-101.40
165,0.00,-998.40,-101.40
186,-54.60,-951.60,-109.20
207,0.00,-990.60,-124.80
228,0.00,-936.00,-163.80
250,0.00,-967.20,-109.20
271,0.00,-936.00,-140.40
292,31.20,-959.40,-117.00
313,31.20,-982.80,-124.80
335,15.60,-943.80,-117.00
356,7.80,-943.80,-109.20
377,0.00,-990.60,-156.00
398,0.00,-959.40,-101.40
417,15.60,-990.60,-78.00
438,0.00,-943.80,-117.00
459,0.00,-967.20,-101.40
480,0.00,-967.20,-117.00
502,15.60,-998.40,-140.40
523,0.00,-975.00,-163.80
544,-78.00,-990.60,-163.80
566,-101.40,-967.20,-124.80
587,0.00,-982.80,-124.80
608,0.00,-959.40,-132.60
630,0.00,-982.80,-109.20
651,0.00,-982.80,-156.00
672,0.00,-975.00,-148.20
693,0.00,-967.20,-132.60
714,0.00,-982.80,-148.20
735,0.00,-990.60,-124.80
757,31.20,-1084.20,-124.80
778,23.40,-998.40,-163.80
799,0.00,-881.40,-85.80
827,0.00,-904.80,0.00
848,0.00,-920.40,-78.00
869,31.20,-897.00,-93.60
891,78.00,-936.00,-132.60
911,101.40,-1084.20,-124.80
934,93.60,-1060.80,-93.60
954,85.80,-943.80,-124.80
977,62.40,-943.80,-124.80
997,23.40,-951.60,-124.80
1020,0.00,-1123.20,-109.20
1040,15.60,-967.20,-70.20
1062,0.00,-928.20,-93.60
1082,0.00,-959.40,-85.80
1104,-78.00,-975.00,-117.00
1125,-78.00,-998.40,-117.00
1147,-70.20,-959.40,-109.20
1168,-78.00,-943.80,-101.40
1190,-132.60,-982.80,-117.00
1211,-210.60,-920.40,-117.00
1239,-140.40,-982.80,-109.20
1261,0.00,-967.20,-101.40
1282,39.00,-951.60,-62.40
1303,54.60,-982.80,-78.00
1324,31.20,-975.00,-78.00
1346,15.60,-990.60,-109.20
1367,23.40,-998.40,-124.80
1389,0.00,-998.40,-109.20
1410,15.60,-967.20,-124.80
1432,0.00,-975.00,-109.20
