Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
0,0.00,1021.80,124.80
24,23.40,1029.60,109.20
48,0.00,1045.20,117.00
72,0.00,998.40,93.60
96,0.00,1006.20,156.00
120,15.60,967.20,93.60
144,7.80,998.40,93.60
165,31.20,982.80,117.00
186,0.00,998.40,93.60
208,0.00,1021.80,101.40
229,0.00,1037.40,93.60
250,0.00,998.40,124.80
271,15.60,998.40,117.00
292,0.00,1006.20,124.80
313,0.00,1006.20,101.40
334,0.00,998.40,109.20
355,0.00,998.40,124.80
376,0.00,998.40,124.80
397,0.00,1006.20,148.20
418,0.00,1021.80,117.00
446,0.00,998.40,132.60
468,-39.00,1014.00,101.40
488,0.00,998.40,124.80
510,0.00,1014.00,140.40
530,0.00,998.40,109.20
552,0.00,1029.60,140.40
572,0.00,1053.00,117.00
594,0.00,998.40,85.80
614,0.00,998.40,109.20
636,0.00,998.40,124.80
656,23.40,1014.00,85.80
679,0.00,1029.60,148.20
699,0.00,998.40,109.20
721,0.00,998.40,101.40
741,7.80,982.80,132.60
763,0.00,1021.80,132.60
783,-46.80,1021.80,85.80
806,0.00,1006.20,109.20
826,7.80,998.40,93.60
848,0.00,998.40,148.20
868,0.00,1029.60,85.80
896,0.00,1021.80,85.80
917,0.00,998.40,124.80
938,7.80,998.40,109.20
960,0.00,998.40,93.60
981,0.00,998.40,109.20
1002,0.00,998.40,124.80
1023,0.00,998.40,93.60
1044,0.00,998.40,93.60
1065,23.40,998.40,93.60
1087,0.00,998.40,124.80
1107,23.40,998.40,148.20
1129,0.00,1014.00,132.60
1150,0.00,998.40,124.80
1171,0.00,998.40,140.40
1192,0.00,1006.20,140.40
1213,0.00,1014.00,132.60
1234,0.00,998.40,132.60
1255,0.00,998.40,109.20
1276,0.00,998.40,101.40
1297,0.00,998.40,148.20
1324,0.00,1014.00,140.40
1346,0.00,1014.00,124.80
1366,0.00,1014.00,101.40
1389,0.00,1006.20,117.00
1408,0.00,1006.20,109.20
1430,15.60,1014.00,78.00
