Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
0,0.00,-975.00,-187.20
27,7.80,-959.40,-132.60
44,0.00,-951.60,-210.60
71,0.00,-920.40,-218.40
88,0.00,-928.20,-210.60
106,7.80,-951.60,-140.40
123,23.40,-1006.20,-117.00
141,-54.60,-943.80,-195.00
159,0.00,-998.40,-179.40
176,0.00,-943.80,-163.80
194,-62.40,-982.80,-179.40
211,-46.80,-967.20,-241.80
229,-62.40,-951.60,-163.80
247,0.00,-998.40,-156.00
264,0.00,-990.60,-218.40
282,7.80,-951.60,-171.60
299,0.00,-951.60,-124.80
317,-62.40,-943.80,-226.20
340,7.80,-951.60,-195.00
358,0.00,-975.00,-179.40
375,0.00,-967.20,-195.00
393,0.00,-951.60,-179.40
410,-70.20,-951.60,-202.80
428,7.80,-990.60,-210.60
446,0.00,-967.20,-140.40
463,0.00,-936.00,-195.00
480,7.80,-936.00,-179.40
498,0.00,-967.20,-132.60
516,0.00,-959.40,-218.40
533,-62.40,-920.40,-195.00
551,0.00,-951.60,-132.60
568,0.00,-990.60,-226.20
586,0.00,-920.40,-140.40
603,62.40,-1029.60,-187.20
621,-124.80,-998.40,-187.20
639,-93.60,-912.60,-249.60
656,-39.00,-904.80,-234.00
680,39.00,-998.40,-226.20
697,0.00,-998.40,-156.00
715,-78.00,-975.00,-241.80
744,0.00,-982.80,-124.80
762,-54.60,-998.40,-187.20
779,62.40,-842.40,-70.20
797,46.80,-967.20,-202.80
815,0.00,-990.60,-241.80
832,0.00,-850.20,-241.80
850,0.00,-1060.80,-124.80
867,0.00,-951.60,-187.20
884,0.00,-858.00,-249.60
917,0.00,-998.40,-163.80
935,-39.00,-928.20,-195.00
952,0.00,-982.80,-179.40
970,0.00,-936.00,-156.00
987,0.00,-975.00,-210.60
1005,-85.80,-951.60,-195.00
1022,-39.00,-943.80,-226.20
1049,0.00,-928.20,-156.00
1072,7.80,-920.40,-171.60
1090,23.40,-967.20,-132.60
1108,0.00,-998.40,-163.80
1125,0.00,-936.00,-171.60
1142,0.00,-951.60,-210.60
1160,0.00,-951.60,-187.20
1177,-93.60,-975.00,-202.80
1195,0.00,-936.00,-163.80
1221,-46.80,-943.80,-195.00
1238,-39.00,-936.00,-156.00
1256,15.60,-936.00,-171.60
1274,15.60,-959.40,-156.00
1291,-70.20,-990.60,-187.20
1309,-54.60,-982.80,-195.00
1327,0.00,-967.20,-156.00
1344,23.40,-897.00,-163.80
1362,15.60,-967.20,-132.60
1379,-46.80,-943.80,-226.20
1403,-39.00,-998.40,-249.60
1421,15.60,-850.20,-187.20
1438,0.00,-943.80,-202.80
1456,-39.00,-951.60,-163.80
1473,0.00,-943.80,-226.20
1491,0.00,-982.80,-171.60
1508,0.00,-943.80,-195.00
1526,0.00,-967.20,-140.40
1543,7.80,-959.40,-171.60
1561,-93.60,-951.60,-202.80
1578,-109.20,-951.60,-195.00
1596,78.00,-912.60,-226.20
1614,93.60,-998.40,-187.20
1631,54.60,-967.20,-163.80
1649,-46.80,-1060.80,-117.00
1678,-101.40,-998.40,-148.20
1696,-117.00,-920.40,-156.00
1714,-93.60,-982.80,-187.20
1737,-62.40,-943.80,-241.80
1755,-62.40,-975.00,-163.80
1773,-39.00,-920.40,-218.40
1790,0.00,-928.20,-249.60
1808,-39.00,-951.60,-132.60
1825,0.00,-967.20,-218.40
1858,-101.40,-951.60,-179.40
1876,-78.00,-1014.00,-156.00
1893,0.00,-943.80,-249.60
1911,-54.60,-936.00,-140.40
1928,0.00,-936.00,-156.00
1946,0.00,-936.00,-163.80
1963,15.60,-943.80,-148.20
1981,93.60,-1029.60,-249.60
1999,0.00,-951.60,-210.60
2016,-62.40,-936.00,-117.00
2034,-62.40,-943.80,-241.80
2061,0.00,-936.00,-132.60
2084,0.00,-967.20,-187.20
2101,0.00,-975.00,-226.20
2119,0.00,-936.00,-140.40
2136,0.00,-920.40,-210.60
2153,0.00,-998.40,-195.00
2171,0.00,-982.80,-156.00
2188,0.00,-959.40,-202.80
2206,-62.40,-951.60,-210.60
2223,-39.00,-975.00,-179.40
2241,0.00,-928.20,-171.60
2258,0.00,-951.60,-202.80
2276,0.00,-975.00,-163.80
2293,0.00,-951.60,-140.40
2310,-46.80,-943.80,-187.20
2328,0.00,-990.60,-171.60
2345,0.00,-967.20,-179.40
2371,0.00,-951.60,-140.40
2389,0.00,-959.40,-187.20
2406,0.00,-990.60,-179.40
2429,0.00,-982.80,-171.60
2447,0.00,-951.60,-195.00
2464,0.00,-982.80,-156.00
2481,0.00,-943.80,-210.60
2499,0.00,-943.80,-195.00
2516,0.00,-936.00,-140.40
2534,-39.00,-951.60,-171.60
2551,0.00,-998.40,-156.00
2569,0.00,-943.80,-140.40
2598,0.00,-975.00,-210.60
2615,0.00,-967.20,-187.20
2632,0.00,-975.00,-179.40
2650,23.40,-982.80,-163.80
2667,7.80,-967.20,-171.60
2685,0.00,-982.80,-210.60
2702,0.00,-967.20,-179.40
2720,-39.00,-951.60,-179.40
2737,-46.80,-975.00,-195.00
2755,0.00,-943.80,-171.60
2793,-46.80,-943.80,-226.20
2811,-39.00,-943.80,-195.00
2828,-39.00,-943.80,-210.60
2846,0.00,-943.80,-179.40
2863,0.00,-975.00,-179.40
2881,0.00,-998.40,-179.40
2898,7.80,-998.40,-171.60
2916,0.00,-967.20,-140.40
2933,0.00,-998.40,-187.20
2950,0.00,-943.80,-179.40
2968,-39.00,-951.60,-140.40
2985,15.60,-998.40,-187.20
3003,0.00,-998.40,-179.40
3020,0.00,-998.40,-179.40
3038,0.00,-951.60,-171.60
3064,-54.60,-967.20,-195.00
3082,0.00,-951.60,-163.80
3100,0.00,-982.80,-179.40
3123,-39.00,-943.80,-195.00
3140,0.00,-959.40,-156.00
3158,0.00,-943.80,-163.80
3175,0.00,-998.40,-156.00
3192,0.00,-967.20,-140.40
3210,0.00,-959.40,-163.80
3227,0.00,-967.20,-210.60
3244,0.00,-943.80,-187.20
3262,0.00,-959.40,-156.00
3279,0.00,-998.40,-171.60
3296,0.00,-943.80,-171.60
3314,0.00,-998.40,-156.00
3331,0.00,-967.20,-202.80
3349,0.00,-967.20,-156.00
3366,0.00,-975.00,-156.00
3383,0.00,-990.60,-187.20
3401,0.00,-967.20,-163.80
3418,-54.60,-951.60,-195.00
3436,0.00,-975.00,-163.80
3459,0.00,-943.80,-210.60
3476,0.00,-975.00,-210.60
3506,0.00,-975.00,-171.60
3531,15.60,-998.40,-179.40
3549,0.00,-982.80,-210.60
3567,0.00,-951.60,-163.80
3584,0.00,-998.40,-187.20
3601,0.00,-959.40,-171.60
3619,0.00,-975.00,-171.60
3636,0.00,-982.80,-148.20
3654,0.00,-943.80,-195.00
3671,0.00,-967.20,-156.00
3688,0.00,-943.80,-202.80
3721,0.00,-959.40,-195.00
3739,0.00,-951.60,-179.40
3756,0.00,-998.40,-179.40
3773,-15.60,-951.60,-171.60
3791,0.00,-982.80,-156.00
3809,-39.00,-936.00,-171.60
3832,-39.00,-936.00,-140.40
3850,0.00,-975.00,-179.40
3867,0.00,-975.00,-171.60
3885,0.00,-967.20,-171.60
3902,0.00,-982.80,-171.60
3920,0.00,-959.40,-187.20
3937,0.00,-975.00,-156.00
3954,0.00,-990.60,-179.40
3972,0.00,-975.00,-163.80
3989,0.00,-990.60,-171.60
4007,0.00,-975.00,-187.20
4024,0.00,-967.20,-156.00
4042,0.00,-951.60,-195.00
4069,0.00,-967.20,-187.20
4086,0.00,-990.60,-171.60
4104,0.00,-967.20,-171.60
4121,0.00,-951.60,-163.80
4139,0.00,-998.40,-202.80
4156,0.00,-982.80,-171.60
4180,0.00,-975.00,-187.20
4197,0.00,-967.20,-132.60
4214,0.00,-959.40,-226.20
4232,0.00,-982.80,-202.80
4249,0.00,-959.40,-132.60
4267,0.00,-975.00,-195.00
4284,-31.20,-967.20,-195.00
4302,0.00,-990.60,-156.00
4319,0.00,-998.40,-187.20
4337,-39.00,-951.60,-163.80
4354,0.00,-959.40,-163.80
4372,0.00,-967.20,-148.20
4389,0.00,-998.40,-163.80
4407,0.00,-959.40,-226.20
4436,0.00,-990.60,-218.40
4454,0.00,-951.60,-163.80
4471,0.00,-975.00,-187.20
4489,-70.20,-912.60,-132.60
4512,0.00,-967.20,-156.00
4530,0.00,-951.60,-179.40
4547,0.00,-943.80,-163.80
4565,7.80,-951.60,-163.80
4582,0.00,-904.80,-171.60
4600,54.60,-873.60,-226.20
4617,-93.60,-1060.80,-93.60
4650,249.60,-990.60,0.00
4668,-288.60,-475.80,-241.80
4694,15.60,-148.20,-156.00
4712,-226.20,-499.20,-288.60
4729,694.20,-2059.20,-592.80
4747,202.80,-1193.40,-288.60
4765,1466.40,-982.80,-288.60
4782,1240.20,-1833.00,0.00
4800,358.80,-1170.00,-93.60
4818,31.20,-1037.40,-163.80
4835,163.80,-998.40,-117.00
4859,0.00,-873.60,-171.60
4876,15.60,-998.40,-124.80
4894,0.00,-975.00,-195.00
4912,-124.80,-998.40,-62.40
4929,0.00,-951.60,-140.40
4947,0.00,-1060.80,-156.00
4964,0.00,-967.20,-156.00
4982,0.00,-928.20,-202.80
4999,163.80,-881.40,-171.60
5017,0.00,-998.40,-187.20
5034,0.00,-943.80,-179.40
5052,0.00,-943.80,-179.40
5078,0.00,-920.40,-195.00
5096,0.00,-982.80,-148.20
5113,0.00,-990.60,-179.40
5131,0.00,-959.40,-179.40
5148,0.00,-975.00,-195.00
5165,0.00,-990.60,-226.20
5183,0.00,-998.40,-171.60
5206,0.00,-982.80,-218.40
5224,7.80,-967.20,-179.40
5241,0.00,-975.00,-187.20
5258,-39.00,-967.20,-156.00
5276,0.00,-982.80,-163.80
5293,-85.80,-943.80,-179.40
5311,46.80,-998.40,-218.40
5329,0.00,-975.00,-195.00
5358,-93.60,-920.40,-210.60
5376,54.60,-982.80,0.00
5393,85.80,-998.40,-234.00
5410,0.00,-889.20,-179.40
5428,-70.20,-858.00,-335.40
5445,-101.40,-1201.20,0.00
5463,-288.60,-163.80,-374.40
5480,312.00,-1622.40,-491.40
5498,-218.40,-397.80,-163.80
5516,-507.00,-717.60,-475.80
5539,93.60,-975.00,-85.80
5557,421.20,-1419.60,-132.60
5589,46.80,-733.20,-374.40
5607,-39.00,-717.60,-132.60
5625,0.00,-1068.60,-124.80
5642,-39.00,-990.60,-234.00
5660,31.20,-1014.00,-179.40
5677,-70.20,-951.60,-156.00
5695,39.00,-967.20,-210.60
5712,0.00,-967.20,-132.60
5730,0.00,-920.40,-234.00
5747,0.00,-975.00,-179.40
5765,0.00,-959.40,-195.00
5782,0.00,-982.80,-195.00
5799,0.00,-936.00,-163.80
5817,0.00,-975.00,-187.20
5843,0.00,-990.60,-218.40
5860,0.00,-951.60,-171.60
5878,0.00,-990.60,-187.20
5901,0.00,-967.20,-187.20
5918,-15.60,-943.80,-163.80
5936,0.00,-990.60,-163.80
5953,0.00,-990.60,-187.20
5971,0.00,-959.40,-187.20
5988,0.00,-975.00,-163.80
6005,7.80,-1021.80,-249.60
6023,0.00,-967.20,-156.00
6040,0.00,-1060.80,-163.80
6058,0.00,-943.80,-195.00
6085,54.60,-1029.60,-179.40
6102,0.00,-982.80,-210.60
6120,-109.20,-873.60,-140.40
6138,85.80,-928.20,-234.00
6155,-694.20,-1053.00,-148.20
6173,23.40,-1092.00,-234.00
6191,-452.40,-811.20,0.00
6208,780.00,-1817.40,0.00
6232,-39.00,-943.80,-132.60
6249,171.60,-998.40,-163.80
6278,163.80,-967.20,-405.60
6296,23.40,-897.00,-132.60
6314,7.80,-982.80,-202.80
6331,0.00,-943.80,-163.80
6349,-39.00,-943.80,-179.40
6366,-124.80,-967.20,-132.60
6384,0.00,-975.00,-187.20
6401,0.00,-943.80,-163.80
6419,-39.00,-951.60,-171.60
6436,0.00,-998.40,-202.80
6454,0.00,-943.80,-195.00
6471,-39.00,-967.20,-140.40
6489,0.00,-998.40,-202.80
6521,0.00,-951.60,-163.80
6539,0.00,-990.60,-187.20
6556,0.00,-959.40,-202.80
6579,0.00,-990.60,-132.60
6597,0.00,-967.20,-179.40
6614,0.00,-975.00,-195.00
6632,0.00,-967.20,-156.00
6649,0.00,-982.80,-163.80
6666,0.00,-959.40,-163.80
6684,0.00,-959.40,-140.40
6701,-39.00,-951.60,-163.80
6719,0.00,-967.20,-171.60
6736,-46.80,-990.60,-156.00
6754,54.60,-858.00,-163.80
6772,0.00,-959.40,-187.20
6789,70.20,-1053.00,-241.80
6807,-101.40,-686.40,0.00
6824,54.60,-811.20,-249.60
6842,-218.40,-709.80,-187.20
6859,280.80,-780.00,-93.60
6877,132.60,-897.00,-257.40
6895,296.40,-1177.80,-234.00
6918,-132.60,-998.40,-109.20
6936,-85.80,-741.00,-179.40
6954,93.60,-998.40,-218.40
6971,-163.80,-897.00,-249.60
6998,23.40,-998.40,-202.80
7015,0.00,-912.60,-288.60
7033,15.60,-998.40,-140.40
7050,0.00,-975.00,-226.20
7068,7.80,-998.40,-179.40
7095,0.00,-967.20,-195.00
7112,0.00,-990.60,-187.20
7130,0.00,-990.60,-179.40
7147,0.00,-982.80,-156.00
7164,0.00,-998.40,-179.40
7182,0.00,-936.00,-140.40
7211,0.00,-998.40,-179.40
7228,0.00,-967.20,-156.00
7246,0.00,-951.60,-195.00
7269,0.00,-982.80,-156.00
7286,0.00,-990.60,-210.60
7304,0.00,-936.00,-156.00
7321,0.00,-982.80,-187.20
7339,-62.40,-951.60,-195.00
7356,0.00,-975.00,-156.00
7374,15.60,-982.80,-218.40
7391,0.00,-975.00,-195.00
7409,0.00,-990.60,-171.60
7426,-54.60,-975.00,-202.80
7459,-39.00,-858.00,-241.80
7476,0.00,-998.40,-366.60
7494,-85.80,-850.20,-62.40
7511,-163.80,-343.20,-397.80
7529,1677.00,11848.20,-9258.60
7547,826.80,-2605.20,-975.00
7565,1396.20,-546.00,1021.80
7582,858.00,-1170.00,-1177.80
7606,920.40,-998.40,93.60
7624,1053.00,-1014.00,273.00
7641,1653.60,717.60,195.00
7659,998.40,-2160.60,-655.20
7677,670.80,-1435.20,-319.80
7695,1692.60,-756.60,-631.80
7712,1099.80,2379.00,-1209.00
7730,1755.00,-2597.40,2636.40
7748,3447.60,-1731.60,2644.20
7766,-374.40,-2620.80,-2652.00
7783,-873.60,-1263.60,-4188.60
7801,1497.60,-2800.20,1084.20
7819,1552.20,319.80,655.20
7836,4134.00,-3549.00,15.60
7854,-1287.00,-4212.00,436.80
7872,1895.40,1864.20,-1419.60
7890,1552.20,826.80,-7043.40
7913,390.00,-4282.20,124.80
7931,249.60,811.20,85.80
7949,3775.20,4087.20,-2199.60
7967,608.40,-2496.00,-3463.20
7984,2160.60,-881.40,865.80
8002,1895.40,-5990.40,-2925.00
8020,-1006.20,-5358.60,2574.00
8037,-733.20,-163.80,663.00
8055,2277.60,-5857.80,3096.60
8073,-93.60,273.00,-499.20
8091,2269.80,2574.00,826.80
8129,912.60,11668.80,-6201.00
8147,-975.00,-11263.20,3174.60
8173,-312.00,-2496.00,7862.40
8191,702.00,1903.20,-499.20
8209,-943.80,-6364.80,5249.40
8227,-70.20,1934.40,-2831.40
8250,3541.20,7628.40,-5358.60
8268,-1255.80,-5670.60,1084.20
8286,5101.20,-8689.20,-1723.80
8303,1482.00,-7207.20,4859.40
8321,1747.20,-3744.00,5194.80
8339,1614.60,-9352.20,1957.80
8357,-2418.00,-2714.40,2628.60
8374,616.20,5038.80,-3174.60
8407,2425.80,2020.20,-1708.20
8425,-2792.40,-4212.00,4102.80
8442,-2706.60,-4695.60,-2628.60
8460,2184.00,5873.40,132.60
8478,-444.60,-1326.00,-2074.80
8495,163.80,3455.40,1068.60
8513,5631.60,2808.00,-2067.00
8531,-538.20,-4867.20,2995.20
8549,1419.60,6614.40,-2262.00
8572,-4469.40,-4867.20,499.20
8590,46.80,-5491.20,2074.80
8607,4797.00,-2995.20,-4391.40
8625,-1692.60,748.80,592.80
8643,-234.00,358.80,-998.40
8661,-1131.00,-1544.40,-1435.20
8678,-2917.20,4126.20,-249.60
8696,725.40,-1037.40,54.60
8713,1177.80,-5109.00,-733.20
8731,764.40,499.20,397.80
8749,-1996.80,1271.40,-1248.00
8767,2371.20,1333.80,1193.40
8784,-920.40,-5686.20,-1497.60
8802,-1404.00,3478.80,-1630.20
8820,-421.20,-3385.20,-335.40
8837,-1318.20,-3416.40,2004.60
8855,592.80,-374.40,1099.80
8879,795.60,865.80,-897.00
8896,-124.80,335.40,-1185.60
8914,-1630.20,-1560.00,-756.60
8931,-62.40,-4563.00,865.80
8949,803.40,-1973.40,-3229.20
8967,-2792.40,-1817.40,2246.40
8985,553.80,-1404.00,-2028.00
9002,-577.20,-179.40,-2215.20
9020,1084.20,78.00,1388.40
9049,1037.40,-1302.60,-1716.00
9067,-670.80,-2441.40,3244.80
9084,-1505.40,-686.40,959.40
9102,1029.60,-3026.40,2137.20
9120,-226.20,0.00,-499.20
9146,-826.80,-1123.20,717.60
9164,468.00,257.40,-499.20
9182,-1318.20,-2847.00,2379.00
9205,-2784.60,-4118.40,-647.40
9223,39.00,-468.00,-132.60
9240,1341.60,-1622.40,-124.80
